Name,"Census Tract ID","Households by Income (Current Year) | Median Household Income (Current Year $), 2025"
"CT0001.00, Toronto, ON",5350001.00,170288.94
"CT0002.00, Toronto, ON",5350002.00,106602.42
"CT0003.00, Toronto, ON",5350003.00,78402.38
"CT0004.00, Toronto, ON",5350004.00,51020.23
"CT0005.00, Toronto, ON",5350005.00,75669.91
"CT0006.00, Toronto, ON",5350006.00,71105.67
"CT0007.01, Toronto, ON",5350007.01,55730.09
"CT0007.02, Toronto, ON",5350007.02,58303.42
"CT0008.01, Toronto, ON",5350008.01,118009.12
"CT0008.02, Toronto, ON",5350008.02,104325.36
"CT0009.00, Toronto, ON",5350009.00,36708.66
"CT0010.01, Toronto, ON",5350010.01,134083.31
"CT0010.02, Toronto, ON",5350010.02,105233.77
"CT0011.01, Toronto, ON",5350011.01,120151.11
"CT0011.02, Toronto, ON",5350011.02,107593.48
"CT0011.03, Toronto, ON",5350011.03,109403.5
"CT0012.01, Toronto, ON",5350012.01,100896.73
"CT0012.03, Toronto, ON",5350012.03,116584.42
"CT0012.04, Toronto, ON",5350012.04,116855.83
"CT0013.01, Toronto, ON",5350013.01,106943.64
"CT0013.02, Toronto, ON",5350013.02,119314.63
"CT0014.00, Toronto, ON",5350014.00,161548.4
"CT0015.00, Toronto, ON",5350015.00,130062.02
"CT0016.00, Toronto, ON",5350016.00,110235.8
"CT0017.01, Toronto, ON",5350017.01,146012
"CT0017.02, Toronto, ON",5350017.02,70771.19
"CT0018.00, Toronto, ON",5350018.00,121118.1
"CT0019.00, Toronto, ON",5350019.00,92930.66
"CT0020.00, Toronto, ON",5350020.00,205564.46
"CT0021.00, Toronto, ON",5350021.00,102306.01
"CT0022.00, Toronto, ON",5350022.00,204086.01
"CT0023.00, Toronto, ON",5350023.00,171115.46
"CT0024.00, Toronto, ON",5350024.00,146424.55
"CT0025.00, Toronto, ON",5350025.00,102340.11
"CT0026.00, Toronto, ON",5350026.00,119166.02
"CT0027.00, Toronto, ON",5350027.00,121321
"CT0028.01, Toronto, ON",5350028.01,164224.15
"CT0028.02, Toronto, ON",5350028.02,129922.68
"CT0029.00, Toronto, ON",5350029.00,107248.03
"CT0030.00, Toronto, ON",5350030.00,84668.82
"CT0031.00, Toronto, ON",5350031.00,59150.25
"CT0032.00, Toronto, ON",5350032.00,38439.46
"CT0033.00, Toronto, ON",5350033.00,35286.66
"CT0034.01, Toronto, ON",5350034.01,61923.05
"CT0034.02, Toronto, ON",5350034.02,68316.5
"CT0035.00, Toronto, ON",5350035.00,70014.74
"CT0036.00, Toronto, ON",5350036.00,73436.32
"CT0037.00, Toronto, ON",5350037.00,55688.83
"CT0038.00, Toronto, ON",5350038.00,51181.95
"CT0039.00, Toronto, ON",5350039.00,61284.98
"CT0040.00, Toronto, ON",5350040.00,97559.33
"CT0041.00, Toronto, ON",5350041.00,112399.6
"CT0042.00, Toronto, ON",5350042.00,93393.45
"CT0043.00, Toronto, ON",5350043.00,130448.2
"CT0044.01, Toronto, ON",5350044.01,116497.9
"CT0044.02, Toronto, ON",5350044.02,88899.75
"CT0045.00, Toronto, ON",5350045.00,90065.36
"CT0046.00, Toronto, ON",5350046.00,103056.35
"CT0047.02, Toronto, ON",5350047.02,52862.39
"CT0047.03, Toronto, ON",5350047.03,128440.19
"CT0047.04, Toronto, ON",5350047.04,153034.82
"CT0048.00, Toronto, ON",5350048.00,113645.79
"CT0049.00, Toronto, ON",5350049.00,139265.87
"CT0050.01, Toronto, ON",5350050.01,119867.17
"CT0050.03, Toronto, ON",5350050.03,143328.74
"CT0050.04, Toronto, ON",5350050.04,107930.05
"CT0051.00, Toronto, ON",5350051.00,122944.4
"CT0052.00, Toronto, ON",5350052.00,124579.82
"CT0053.00, Toronto, ON",5350053.00,102416.85
"CT0054.00, Toronto, ON",5350054.00,80292.61
"CT0055.00, Toronto, ON",5350055.00,103209.31
"CT0056.00, Toronto, ON",5350056.00,112520.14
"CT0057.00, Toronto, ON",5350057.00,84695.8
"CT0058.00, Toronto, ON",5350058.00,96022.62
"CT0059.00, Toronto, ON",5350059.00,91054.24
"CT0060.00, Toronto, ON",5350060.00,91144.94
"CT0061.00, Toronto, ON",5350061.00,33745.68
"CT0062.01, Toronto, ON",5350062.01,72816.57
"CT0062.03, Toronto, ON",5350062.03,68497.06
"CT0062.04, Toronto, ON",5350062.04,52086.16
"CT0063.03, Toronto, ON",5350063.03,87402.78
"CT0063.04, Toronto, ON",5350063.04,56171.43
"CT0063.05, Toronto, ON",5350063.05,72569.49
"CT0063.06, Toronto, ON",5350063.06,64916.48
"CT0064.00, Toronto, ON",5350064.00,81740.84
"CT0065.01, Toronto, ON",5350065.01,59327.9
"CT0065.02, Toronto, ON",5350065.02,50088.82
"CT0066.00, Toronto, ON",5350066.00,68882.37
"CT0067.00, Toronto, ON",5350067.00,170443.77
"CT0068.00, Toronto, ON",5350068.00,138419.57
"CT0069.00, Toronto, ON",5350069.00,186721.45
"CT0070.00, Toronto, ON",5350070.00,98277.62
"CT0071.00, Toronto, ON",5350071.00,126290.08
"CT0072.01, Toronto, ON",5350072.01,77333.8
"CT0072.02, Toronto, ON",5350072.02,122002.29
"CT0073.00, Toronto, ON",5350073.00,113760.3
"CT0074.00, Toronto, ON",5350074.00,90952.76
"CT0075.00, Toronto, ON",5350075.00,96495.42
"CT0076.00, Toronto, ON",5350076.00,107975.84
"CT0077.00, Toronto, ON",5350077.00,132769.84
"CT0078.00, Toronto, ON",5350078.00,98747.04
"CT0079.00, Toronto, ON",5350079.00,152230.31
"CT0080.01, Toronto, ON",5350080.01,108479.95
"CT0080.02, Toronto, ON",5350080.02,71372.17
"CT0081.00, Toronto, ON",5350081.00,135155.31
"CT0082.00, Toronto, ON",5350082.00,120255.98
"CT0083.00, Toronto, ON",5350083.00,98866.59
"CT0084.00, Toronto, ON",5350084.00,136442.63
"CT0085.00, Toronto, ON",5350085.00,91022.95
"CT0086.00, Toronto, ON",5350086.00,503051.32
"CT0087.00, Toronto, ON",5350087.00,186404.81
"CT0088.00, Toronto, ON",5350088.00,97716.82
"CT0089.00, Toronto, ON",5350089.00,124900.24
"CT0090.00, Toronto, ON",5350090.00,123311.15
"CT0091.01, Toronto, ON",5350091.01,92834.4
"CT0091.02, Toronto, ON",5350091.02,70744.14
"CT0092.00, Toronto, ON",5350092.00,90885.19
"CT0093.00, Toronto, ON",5350093.00,116853.67
"CT0094.00, Toronto, ON",5350094.00,108250.5
"CT0095.00, Toronto, ON",5350095.00,97738.92
"CT0096.01, Toronto, ON",5350096.01,89130
"CT0096.02, Toronto, ON",5350096.02,92375.02
"CT0097.01, Toronto, ON",5350097.01,87749.23
"CT0097.03, Toronto, ON",5350097.03,62859.26
"CT0097.04, Toronto, ON",5350097.04,88723.91
"CT0098.00, Toronto, ON",5350098.00,107096.01
"CT0099.00, Toronto, ON",5350099.00,78998.47
"CT0100.00, Toronto, ON",5350100.00,107810.98
"CT0101.00, Toronto, ON",5350101.00,101419.94
"CT0102.02, Toronto, ON",5350102.02,74570.34
"CT0102.03, Toronto, ON",5350102.03,87744.68
"CT0102.04, Toronto, ON",5350102.04,120396.61
"CT0102.05, Toronto, ON",5350102.05,118207.61
"CT0103.00, Toronto, ON",5350103.00,154379.02
"CT0104.00, Toronto, ON",5350104.00,182643.12
"CT0105.00, Toronto, ON",5350105.00,116049.59
"CT0106.00, Toronto, ON",5350106.00,107245.08
"CT0107.00, Toronto, ON",5350107.00,109880.25
"CT0108.00, Toronto, ON",5350108.00,69570.58
"CT0109.00, Toronto, ON",5350109.00,114475.1
"CT0110.00, Toronto, ON",5350110.00,101658.27
"CT0111.00, Toronto, ON",5350111.00,113091.74
"CT0112.00, Toronto, ON",5350112.00,102002.32
"CT0113.00, Toronto, ON",5350113.00,113332.76
"CT0114.00, Toronto, ON",5350114.00,93029.38
"CT0115.00, Toronto, ON",5350115.00,101028.05
"CT0116.00, Toronto, ON",5350116.00,114571.92
"CT0117.00, Toronto, ON",5350117.00,143430.26
"CT0118.00, Toronto, ON",5350118.00,128351.4
"CT0119.00, Toronto, ON",5350119.00,126045.69
"CT0120.00, Toronto, ON",5350120.00,256857.37
"CT0121.00, Toronto, ON",5350121.00,133265.29
"CT0122.00, Toronto, ON",5350122.00,123946.05
"CT0123.00, Toronto, ON",5350123.00,80738.64
"CT0124.00, Toronto, ON",5350124.00,114276.56
"CT0125.00, Toronto, ON",5350125.00,382931.84
"CT0126.00, Toronto, ON",5350126.00,171297.73
"CT0127.00, Toronto, ON",5350127.00,158658.91
"CT0128.02, Toronto, ON",5350128.02,91911.52
"CT0128.04, Toronto, ON",5350128.04,91579.79
"CT0128.05, Toronto, ON",5350128.05,123555.39
"CT0128.06, Toronto, ON",5350128.06,74043.04
"CT0129.00, Toronto, ON",5350129.00,128621.63
"CT0130.00, Toronto, ON",5350130.00,278954.83
"CT0131.00, Toronto, ON",5350131.00,149143.6
"CT0132.00, Toronto, ON",5350132.00,139243.16
"CT0133.00, Toronto, ON",5350133.00,85172.39
"CT0134.00, Toronto, ON",5350134.00,226677.93
"CT0135.00, Toronto, ON",5350135.00,87058.57
"CT0136.01, Toronto, ON",5350136.01,74850.75
"CT0136.02, Toronto, ON",5350136.02,75799.12
"CT0137.00, Toronto, ON",5350137.00,98179.93
"CT0138.00, Toronto, ON",5350138.00,282829.43
"CT0139.01, Toronto, ON",5350139.01,151007.93
"CT0139.02, Toronto, ON",5350139.02,194812.55
"CT0140.00, Toronto, ON",5350140.00,490777.85
"CT0141.01, Toronto, ON",5350141.01,185842.02
"CT0141.02, Toronto, ON",5350141.02,249520.96
"CT0142.00, Toronto, ON",5350142.00,180437.33
"CT0150.00, Toronto, ON",5350150.00,210863.57
"CT0151.00, Toronto, ON",5350151.00,66267.34
"CT0152.00, Toronto, ON",5350152.00,141754.46
"CT0153.00, Toronto, ON",5350153.00,90940.65
"CT0154.00, Toronto, ON",5350154.00,82113.2
"CT0155.00, Toronto, ON",5350155.00,55209.33
"CT0156.01, Toronto, ON",5350156.01,54816.57
"CT0156.02, Toronto, ON",5350156.02,82307.89
"CT0157.00, Toronto, ON",5350157.00,76598.98
"CT0158.00, Toronto, ON",5350158.00,56507.62
"CT0159.01, Toronto, ON",5350159.01,84623.37
"CT0159.02, Toronto, ON",5350159.02,91728.02
"CT0160.00, Toronto, ON",5350160.00,95225.97
"CT0161.00, Toronto, ON",5350161.00,90737.61
"CT0162.00, Toronto, ON",5350162.00,80847.18
"CT0163.00, Toronto, ON",5350163.00,94976.1
"CT0164.00, Toronto, ON",5350164.00,101636.11
"CT0165.00, Toronto, ON",5350165.00,120429.96
"CT0166.00, Toronto, ON",5350166.00,128103.17
"CT0167.01, Toronto, ON",5350167.01,98966.6
"CT0167.02, Toronto, ON",5350167.02,76886.02
"CT0168.00, Toronto, ON",5350168.00,70372.67
"CT0169.01, Toronto, ON",5350169.01,97867.62
"CT0169.02, Toronto, ON",5350169.02,85817.26
"CT0170.00, Toronto, ON",5350170.00,87741.69
"CT0171.00, Toronto, ON",5350171.00,59911.73
"CT0172.00, Toronto, ON",5350172.00,56410.94
