GEO UID,Census Tract name,Total Education,No certificate,High (secondary) school,Postsecondary Education
5350001.00,1.00,415,25,60,325
5350002.00,2.00,255,20,40,200
5350003.00,3.00,375,20,30,320
5350004.00,4.00,4135,580,1040,2515
5350005.00,5.00,4670,415,975,3285
5350007.01,7.01,2195,235,430,1525
5350007.02,7.02,2960,275,705,1980
5350008.01,8.01,7280,75,700,6505
5350008.02,8.02,9310,190,900,8215
5350009.00,9.00,200,15,45,140
5350010.01,10.01,4440,95,495,3850
5350010.02,10.02,5565,185,785,4600
5350011.01,11.01,7910,150,710,7050
5350011.02,11.02,7785,65,545,7175
5350011.03,11.03,4925,20,400,4500
5350012.01,12.01,10395,230,1045,9125
5350012.03,12.03,7200,95,475,6635
5350012.04,12.04,4325,60,420,3850
5350013.01,13.01,5035,80,480,4475
5350013.02,13.02,7590,55,510,7025
5350014.00,14.00,1605,20,110,1475
5350015.00,15.00,3495,75,230,3195
5350016.00,16.00,8520,230,760,7535
5350017.01,17.01,3650,100,315,3235
5350017.02,17.02,5895,225,925,4745
5350018.00,18.00,2700,40,350,2310
5350019.00,19.00,2095,280,305,1510
5350020.00,20.00,1180,0,100,1080
5350021.00,21.00,2975,90,455,2430
5350022.00,22.00,2100,40,240,1820
5350023.00,23.00,1770,25,220,1520
5350024.00,24.00,3940,135,645,3165
5350025.00,25.00,2210,155,380,1675
5350026.00,26.00,4095,445,840,2805
5350027.00,27.00,2640,330,410,1895
5350028.01,28.01,975,10,110,855
5350028.02,28.02,3845,210,545,3095
5350029.00,29.00,4125,500,640,2985
5350030.00,30.00,4630,440,900,3295
5350031.00,31.00,3405,490,735,2180
5350032.00,32.00,3615,465,660,2495
5350033.00,33.00,3265,390,675,2205
5350034.01,34.01,3030,50,255,2730
5350034.02,34.02,5440,200,670,4570
5350035.00,35.00,7055,90,580,6385
5350036.00,36.00,3755,165,535,3050
5350037.00,37.00,2745,205,375,2160
5350038.00,38.00,2065,245,505,1315
5350039.00,39.00,2765,415,590,1750
5350040.00,40.00,2785,410,570,1795
5350041.00,41.00,2150,215,360,1570
5350042.00,42.00,2790,245,495,2045
5350043.00,43.00,2380,200,395,1785
5350044.01,44.01,3325,230,490,2610
5350044.02,44.02,3480,90,450,2940
5350045.00,45.00,2140,235,395,1510
5350046.00,46.00,2010,245,465,1305
5350047.02,47.02,2120,420,425,1270
5350047.03,47.03,790,25,115,650
5350047.04,47.04,1725,65,260,1395
5350048.00,48.00,2145,105,350,1690
5350049.00,49.00,2020,30,275,1725
5350050.01,50.01,4995,125,550,4325
5350050.03,50.03,705,0,95,610
5350050.04,50.04,2805,125,375,2310
5350051.00,51.00,2960,70,290,2600
5350052.00,52.00,2620,75,345,2200
5350053.00,53.00,3890,445,640,2800
5350054.00,54.00,3515,260,545,2710
5350055.00,55.00,1825,55,325,1445
5350056.00,56.00,2860,150,490,2225
5350057.00,57.00,1425,80,210,1140
5350058.00,58.00,2395,60,280,2060
5350059.00,59.00,1910,60,285,1565
5350060.00,60.00,1600,30,155,1415
5350061.00,61.00,520,20,60,440
5350062.01,62.01,2335,15,230,2085
5350062.03,62.03,1980,15,165,1800
5350062.04,62.04,5160,85,390,4685
5350063.03,63.03,3745,55,405,3275
5350063.04,63.04,3535,205,490,2840
5350063.05,63.05,4365,55,430,3890
5350063.06,63.06,4195,150,560,3480
5350064.00,64.00,3820,105,545,3165
5350065.01,65.01,1910,70,295,1545
5350065.02,65.02,6825,905,1505,4415
5350066.00,66.00,4750,215,900,3635
5350067.00,67.00,1000,10,80,915
5350068.00,68.00,1405,35,145,1220
5350069.00,69.00,2710,180,315,2215
5350070.00,70.00,1945,45,215,1690
5350071.00,71.00,1800,60,215,1525
5350072.01,72.01,2540,240,475,1825
5350072.02,72.02,1810,145,315,1350
5350073.00,73.00,1635,220,295,1125
5350074.00,74.00,2355,245,465,1655
5350075.00,75.00,2175,145,335,1695
5350076.00,76.00,2470,155,395,1915
5350077.00,77.00,2680,195,385,2105
5350078.00,78.00,3595,185,580,2830
5350079.00,79.00,4110,145,580,3385
5350080.01,80.01,2315,140,455,1725
5350080.02,80.02,2995,360,610,2025
5350081.00,81.00,1645,95,290,1260
5350082.00,82.00,1540,75,265,1205
5350083.00,83.00,2135,140,320,1675
5350084.00,84.00,2005,50,210,1745
5350085.00,85.00,2375,90,310,1965
5350086.00,86.00,1240,0,105,1140
5350087.00,87.00,2210,40,230,1945
5350088.00,88.00,1730,55,165,1515
5350089.00,89.00,2915,50,375,2495
5350090.00,90.00,2350,55,250,2050
5350091.01,91.01,3185,40,305,2845
5350091.02,91.02,2080,105,270,1710
5350092.00,92.00,4400,105,465,3820
5350093.00,93.00,3125,75,370,2685
5350094.00,94.00,3145,270,560,2315
5350095.00,95.00,1715,110,245,1360
5350096.01,96.01,970,135,205,625
5350096.02,96.02,2115,175,445,1490
5350097.01,97.01,2465,260,470,1735
5350097.03,97.03,1545,200,295,1050
5350097.04,97.04,3305,470,670,2165
5350098.00,98.00,4505,505,775,3225
5350099.00,99.00,4175,150,595,3430
5350100.00,100.00,1895,100,260,1535
5350101.00,101.00,2235,105,330,1800
5350102.02,102.02,3115,145,405,2565
5350102.03,102.03,2530,55,280,2195
5350102.04,102.04,440,0,55,375
5350102.05,102.05,435,0,65,365
5350103.00,103.00,3345,55,315,2975
5350104.00,104.00,3180,45,335,2795
5350105.00,105.00,2525,100,395,2030
5350106.00,106.00,2325,320,460,1550
5350107.00,107.00,2960,670,750,1545
5350108.00,108.00,3535,625,970,1945
5350109.00,109.00,3435,405,685,2350
5350110.00,110.00,2195,270,345,1575
5350111.00,111.00,1455,315,330,810
5350112.00,112.00,2845,400,585,1860
5350113.00,113.00,1495,85,295,1115
5350114.00,114.00,2685,150,450,2085
5350115.00,115.00,2545,315,560,1665
5350116.00,116.00,2335,55,325,1955
5350117.00,117.00,1555,45,185,1325
5350118.00,118.00,2025,40,220,1775
5350119.00,119.00,2620,50,330,2240
5350120.00,120.00,715,10,45,660
5350121.00,121.00,1555,30,140,1390
5350122.00,122.00,3535,60,340,3135
5350123.00,123.00,1690,80,230,1380
5350124.00,124.00,2845,80,335,2430
5350125.00,125.00,2030,10,120,1900
5350126.00,126.00,2245,40,225,1980
5350127.00,127.00,2845,45,290,2500
5350128.02,128.02,8505,140,850,7515
5350128.04,128.04,3085,75,385,2625
5350128.05,128.05,660,0,70,585
5350128.06,128.06,3560,40,385,3135
5350129.00,129.00,3280,45,355,2870
5350130.00,130.00,1720,30,205,1490
5350131.00,131.00,2590,80,285,2225
5350132.00,132.00,2790,65,325,2390
5350133.00,133.00,3895,175,715,3005
5350134.00,134.00,1495,25,110,1365
5350135.00,135.00,4210,80,420,3715
5350136.01,136.01,5560,165,600,4790
5350136.02,136.02,5795,150,645,5000
5350137.00,137.00,3955,75,430,3455
5350138.00,138.00,1495,15,130,1350
5350139.01,139.01,2290,35,215,2035
5350139.02,139.02,1260,35,110,1110
